zi,chaizi
巴,"['巳', '丶']"
队,"['阝', '人']"
队,"['阜', '人']"
阞,"['阜', '力']"
阞,"['阝', '力']"
収,"['丩', '又']"
丒,"['刃', '一']"
刅,"['刀', '八']"
办,"['力', '八']"
以,"['□', '丶', '人']"
允,"['厶', '儿']"
予,"['龴', '乛', '亅']"
邓,"['又', '阝']"
邓,"['又', '邑']"
劝,"['又', '力']"
厸,"['厶', '厶']"
双,"['又', '又']"
书,"['㇆', '㇆', '丨', '丶']"
乣,"['幺', '乚']"
乣,"['幺', '乙']"
幻,"['幺', '㇆']"
弍,"['弋', '二']"
玉,"['王', '丶']"
玊,"['王', '丶']"
匞,"['匚', '工']"
玌,"['玉', '乚']"
玌,"['王', '乚']"
刊,"['干', '刀']"
刊,"['干', '刂']"
未,"['一', '木']"
末,"['木', '一']"
示,"['二', '小']"
击,"['二', '山']"
邗,"['干', '邑']"
邗,"['干', '阝']"
邘,"['于', '邑']"
邘,"['于', '阝']"
丼,"['井', '丶']"
戋,"['戈', '一']"
圢,"['土', '丁']"
打,"['扌', '丁']"
打,"['手', '丁']"
打,"['才', '丁']"
巧,"['工', '丂']"
巧,"['工', '万']"
正,"['一', '止']"
圤,"['土', '卜']"
扑,"['手', '卜']"
扑,"['扌', '卜']"
扑,"['才', '卜']"
卉,"['十', '廾']"
扒,"['才', '八']"
扒,"['扌', '八']"
扒,"['手', '八']"
圥,"['土', '儿']"
扏,"['才', '九']"
扏,"['手', '九']"
扏,"['扌', '九']"
凷,"['凵', '土']"
卭,"['工', '卩']"
邛,"['工', '邑']"
邛,"['工', '阝']"
功,"['工', '力']"
扐,"['扌', '力']"
扐,"['才', '力']"
扐,"['手', '力']"
扔,"['手', '乃']"
扔,"['扌', '乃']"
扔,"['才', '乃']"
去,"['土', '厶']"
甘,"['廿', '一']"
艼,"['草', '丁']"
艼,"['艹', '丁']"
艼,"['艸', '丁']"
世,"['廿', '丨', '一']"
丗,"['十', '凵']"
丗,"['廿', '丨']"
卌,"['川', '丨', '一']"
卌,"['丿', '丨', '丨', '丨', '丨', '一']"
艾,"['草', '乂']"
艾,"['艸', '乂']"
艾,"['艹', '乂']"
艽,"['草', '九']"
艽,"['艸', '九']"
艽,"['艹', '九']"
芁,"['艸', '几']"
芁,"['艹', '几']"
芁,"['草', '几']"
古,"['十', '口']"
节,"['竹', '卩']"
艻,"['草', '力']"
艻,"['艹', '力']"
艻,"['艸', '力']"
艿,"['草', '乃']"
艿,"['艹', '乃']"
艿,"['艸', '乃']"
芀,"['艸', '刀']"
芀,"['草', '刀']"
芀,"['艹', '刀']"
本,"['木', '一']"
术,"['木', '丶']"
札,"['木', '乚']"
朮,"['木', '丶']"
朮,"['十', '儿', '丶']"
刌,"['寸', '刀']"
刌,"['寸', '刂']"
辻,"['辵', '十']"
辻,"['辶', '十']"
可,"['一', '口', '亅']"
可,"['丁', '口']"
叵,"['匚', '口']"
匝,"['匚', '巾']"
丙,"['一', '人', '冂']"
厈,"['厂', '干']"
左,"['一', '丿', '工']"
厉,"['厂', '万']"
丕,"['不', '一']"
右,"['一', '丿', '口']"
石,"['一', '丿', '口']"
布,"['一', '丿', '巾']"
厇,"['厂', '乇']"
夳,"['大', '二']"
夲,"['大', '十']"
夰,"['大', '丿', '丨']"
冭,"['大', '冰']"
冭,"['大', '冫']"
夯,"['大', '力']"
厺,"['大', '厶']"
达,"['辶', '大']"
达,"['辵', '大']"
戊,"['丿', '戈']"
龙,"['尤', '丿']"
犮,"['一', '丿', '丶', '又']"
犮,"['一', '丿', '丶', '乂']"
匛,"['匚', '久']"
平,"['干', '丷']"
灭,"['一', '火']"
轧,"['车', '乚']"
东,"['一', '𠃋', '小']"
匜,"['匚', '也']"
劢,"['万', '力']"
卡,"['上', '下']"
卡,"['上', '卜']"
仧,"['上', '人']"
北,"['丬', '匕']"
占,"['卜', '口']"
歺,"['丨', '歹']"
歺,"['卜', '夕']"
卢,"['卜', '尸']"
业,"['丨', '丨', '丷', '一']"
旧,"['丨', '日']"
帅,"['丨', '丿', '巾']"
归,"['丨', '丿', '彐']"
且,"['月', '一']"
旦,"['日', '一']"
目,"['囗', '二']"
叮,"['口', '丁']"
叶,"['口', '十']"
曱,"['口', '丅']"
甲,"['囗', '十']"
申,"['囗', '十']"
号,"['口', '丂']"
电,"['日', '乚']"
田,"['囗', '十']"
由,"['囗', '十']"
卟,"['口', '卜']"
只,"['口', '八']"
叭,"['口', '八']"
史,"['口', '乂']"
叺,"['口', '入']"
央,"['冂', '大']"
兄,"['口', '儿']"
叱,"['口', '匕']"
叽,"['口', '几']"
叼,"['口', '刁']"
叩,"['口', '卩']"
叫,"['口', '丩']"
另,"['口', '力']"
叧,"['口', '刀']"
叨,"['口', '刀']"
叻,"['口', '力']"
叹,"['口', '又']"
亗,"['山', '二']"
冉,"['冂', '十', '一']"
甴,"['口', '丄']"
帄,"['巾', '丁']"
屵,"['山', '厂']"
皿,"['冊', '一']"
罒,"['冖', '丨', '丨', '一']"
冋,"['冂', '口']"
邖,"['山', '阝']"
邖,"['山', '邑']"
屴,"['山', '力']"
囚,"['囗', '人']"
四,"['囗', '儿']"
囜,"['囗', '厶']"
钅,"['人', '王', '丷', '釒']"
玍,"['午', '一']"
玍,"['丿', '王']"
生,"['丿', '三', '丨']"
生,"['牛', '一']"
失,"['丶', '夫']"
失,"['丿', '夫']"
矢,"['丿', '天']"
氕,"['气', '丿']"
乍,"['丿', '丅', '二']"
尓,"['丿', '一', '小']"
禾,"['丿', '木']"
刋,"['千', '刂']"
刋,"['千', '刀']"
叐,"['丿', '友']"
刉,"['乞', '刀']"
刉,"['乞', '刂']"
仨,"['人', '三']"
仨,"['亻', '三']"
仠,"['人', '干']"
仠,"['亻', '干']"
丘,"['厂', '丅', '一']"
丘,"['厂', '工']"
仕,"['人', '士']"
仕,"['亻', '士']"
仜,"['人', '工']"
仜,"['亻', '工']"
付,"['人', '寸']"
付,"['亻', '寸']"
仗,"['人', '丈']"
仗,"['亻', '丈']"
代,"['人', '弋']"
代,"['亻', '弋']"
仦,"['人', '小']"
仦,"['亻', '小']"
仙,"['人', '山']"
仙,"['亻', '山']"
仟,"['亻', '千']"
仟,"['人', '千']"
仛,"['亻', '乇']"
仛,"['人', '乇']"
仡,"['亻', '乞']"
仡,"['人', '乞']"
仢,"['亻', '勺']"
仢,"['人', '勺']"
仫,"['亻', '么']"
仫,"['人', '么']"
伋,"['人', '及']"
伋,"['亻', '及']"
们,"['亻', '门']"
们,"['人', '门']"
仪,"['人', '义']"
仪,"['亻', '义']"
白,"['丶', '日']"
白,"['丿', '日']"
仔,"['人', '子']"
仔,"['亻', '子']"
他,"['亻', '也']"
他,"['人', '也']"
仞,"['人', '刃']"
仞,"['亻', '刃']"
仭,"['亻', '刄']"
仭,"['人', '刄']"
斥,"['斤', '丶']"
卮,"['厂', '一', '卩']"
瓜,"['爪', '一', '丶']"
仺,"['人', '匚', '一']"
尒,"['人', '小']"
仚,"['人', '山']"
屳,"['入', '山']"
乎,"['丿', '丷', '一', '亅']"
丛,"['从', '一']"
令,"['人', '一', '卩']"
用,"['月', '丨']"
用,"['冂', '十', '一']"
甩,"['月', '乚']"
肊,"['月', '乙']"
肊,"['肉', '乙']"
印,"['卬', '一']"
印,"['匸', '一', '卩']"
氐,"['氏', '丶']"
乐,"['匚', '小']"
乐,"['丿', '丨', '木']"
尔,"['丿', '乛', '亅', '八']"
尔,"['刀', '小']"
句,"['勹', '口']"
叴,"['九', '口']"
凧,"['几', '巾']"
匆,"['勿', '丶']"
犰,"['犬', '九']"
犰,"['犭', '九']"
匃,"['勹', '亾']"
册,"['⺆', '⺆', '一']"
卯,"['卬', '丿']"
卯,"['匸', '丿', '卩']"
犯,"['犬', '卩']"
犯,"['犭', '卩']"
犯,"['犬', '㔾']"
犯,"['犭', '㔾']"
匄,"['勹', '亡']"
处,"['夕', '卜']"
处,"['夂', '卜']"
外,"['夕', '卜']"
冬,"['夕', '冰']"
冬,"['夂', '冫']"
鸟,"['勹', '丶', '㇉', '一']"
夘,"['夕', '卩']"
务,"['夂', '力']"
务,"['夕', '力']"
夗,"['夕', '㔾']"
夗,"['夕', '卩']"
刍,"['刀', '彐']"
饤,"['饣', '丁']"
包,"['勹', '己']"
饥,"['饣', '几']"
主,"['丶', '王']"
冮,"['冫', '工']"
冮,"['冰', '工']"
市,"['亠', '巾']"
庂,"['广', '人']"
庀,['匕']
疒,"['丶', '一', '丬']"
