zi,index,ini,fin,tone
由,468,y,ou,2
卟,469,x,u,4
卟,469,y,i,4
卟,469,b,u,3
卟,469,j,i,1
只,470,k,ai,3
只,470,zh,i,1
只,470,zh,i,3
叭,471,b,a,a
叭,471,b,a,1
叭,471,p,a,1
史,472,sh,i,3
叺,473,ch,i,3
央,474,y,ing,1
央,474,y,ang,1
兄,475,k,uang,4
兄,475,n,u,3
兄,475,x,iong,1
叱,476,ch,i,4
叱,476,,e,2
叱,476,h,ua,4
叽,477,j,i,1
叽,477,j,iao,4
叼,478,d,iao,1
叩,479,k,ou,4
叫,480,j,iao,4
叫,480,sh,ang,1
另,481,l,ing,4
叧,482,g,ua,3
叨,483,d,ao,1
叨,483,d,ao,2
叨,483,t,ao,1
叨,483,zh,ao,1
叻,484,l,i,4
叻,484,l,e,4
叹,485,j,iao,3
叹,485,t,an,4
叹,485,y,i,3
叹,485,y,ou,4
亗,486,j,i,4
亗,486,q,i,4
亗,486,s,ui,4
冉,487,y,u,4
冉,487,r,an,3
冉,487,n,an,2
冉,487,d,an,1
甴,488,ch,ai,4
甴,488,y,ou,2
甴,488,zh,a,2
帄,489,d,ing,1
屵,490,y,an,3
屵,490,x,i,2
屵,490,s,ui,4
屵,490,,e,4
屵,490,h,ui,4
屵,490,,an,4
冊,491,c,e,4
皿,492,m,in,3
皿,492,m,ing,3
罒,493,w,ang,3
罒,493,x,iong,4
冋,494,j,iong,1
冋,494,j,iong,3
凹,495,w,a,1
凹,495,,ao,1
邖,496,sh,an,1
邖,496,z,e,2
屴,497,l,i,4
屶,498,h,ui,4
屶,498,sh,uang,3
屷,499,d,an,3
屷,499,h,ui,4
囚,500,q,iu,2
囚,500,ch,i,4
四,501,s,i,4
囙,502,y,in,1
囘,503,b,i,4
囘,503,h,ui,2
冎,504,g,ua,3
囜,505,n,in,2
囜,505,z,u,3
钅,506,j,in,1
玍,507,g,a,3
生,508,sh,eng,1
失,509,h,an,1
失,509,k,an,3
失,509,sh,i,1
失,509,y,i,4
矢,510,sh,i,3
氕,511,p,ie,1
乍,512,z,uo,4
乍,512,zh,a,4
尓,513,,er,3
禾,514,h,e,2
刋,515,j,u,3
刋,515,q,ian,4
叐,516,b,a,2
刉,517,h,uan,4
刉,517,j,i,1
仨,518,s,a,1
仠,519,h,an,4
仠,519,g,an,3
丘,520,q,iu,1
仕,521,sh,i,4
仜,522,,e,4
仜,522,h,ong,2
仜,522,k,ai,4
付,523,f,u,4
付,523,y,in,3
仗,524,zh,ang,4
代,525,d,ai,4
仩,526,ch,ang,2
仦,527,ch,ao,4
仦,527,zh,ai,1
仙,528,h,uo,2
仙,528,x,ian,1
仙,528,x,ian,3
仟,529,q,ian,1
仛,530,zh,e,2
仛,530,t,uo,1
仛,530,ch,a,4
仛,530,d,uo,2
仡,531,g,e,1
仡,531,w,u,4
仡,531,y,i,4
仢,532,,ai,4
仢,532,b,o,2
仫,533,m,u,4
伋,534,j,i,2
伋,534,ch,an,4
伋,534,f,an,2
们,535,m,en,n
们,535,m,en,2
仪,536,y,i,2
白,537,b,ai,2
白,537,b,o,2
仔,538,z,i,1
仔,538,z,i,3
仔,538,z,ai,3
他,539,b,i,4
他,539,t,a,1
他,539,t,uo,2
仞,540,r,en,4
仭,541,r,en,4
斥,542,zh,e,4
斥,542,ch,e,4
斥,542,ch,i,4
卮,543,zh,i,1
卮,543,f,eng,1
卮,543,f,eng,2
瓜,544,g,ua,1
仝,545,n,ing,2
仝,545,t,ong,2
仺,546,c,ang,1
尒,547,,er,3
仚,548,x,ian,1
屳,549,x,ian,1
乎,550,h,u,1
乎,550,y,a,3
丛,551,c,ong,2
令,552,l,ing,3
令,552,l,ing,2
令,552,l,ing,4
令,552,l,i,4
令,552,l,ian,2
込,553,y,u,1
用,554,y,ong,4
用,554,m,ao,2
甩,555,sh,uai,3
甩,555,t,i,2
肊,556,y,i,4
肊,556,zh,ou,1
印,557,y,i,4
印,557,y,in,4
氐,558,d,i,3
氐,558,zh,i,1
氐,558,d,i,1
乐,559,l,ao,4
乐,559,l,e,4
乐,559,l,ie,4
乐,559,y,ao,4
乐,559,y,ue,4
尔,560,,er,3
句,561,q,ian,1
句,561,q,u,2
句,561,j,u,4
句,561,g,ou,4
句,561,g,ou,1
叴,562,q,iu,2
凧,563,zh,eng,1
匆,564,c,ong,1
匆,564,zh,ou,1
犰,565,q,iu,2
匃,566,g,ai,4
册,567,c,e,4
册,567,j,ue,2
册,567,zh,a,4
卯,568,m,ao,3
卯,568,q,in,1
匇,569,y,i,4
犯,570,f,an,4
犯,570,h,ong,4
匄,571,k,u,1
匄,571,g,ai,4
处,572,ch,u,4
处,572,ch,u,3
外,573,w,ai,4
処,574,ch,u,3
処,574,ch,u,4
冬,575,d,ong,1
鸟,576,d,iao,3
鸟,576,n,iao,3
鸟,576,s,i,4
夘,577,w,an,3
夘,577,w,an,1
夘,577,m,ao,3
夘,577,j,ue,2
邜,578,x,i,1
务,579,w,u,4
夗,580,d,ang,3
夗,580,w,an,1
夗,580,w,an,3
夗,580,y,uan,1
夗,580,y,uan,4
刍,581,ch,u,2
饤,582,d,ing,4
包,583,b,ao,1
包,583,f,u,2
包,583,p,ao,2
包,583,y,e,4
饥,584,j,i,1
主,585,zh,u,3
主,585,zh,u,4
主,585,n,a,4
冮,586,g,ang,1
市,587,f,u,2
市,587,sh,i,4
庁,588,t,ing,1
庂,589,z,e,4
庀,590,p,i,3
疒,591,n,e,4
疒,591,n,ang,2
邝,592,y,ing,1
邝,592,k,uang,4
邝,592,sh,ai,4
広,593,g,uang,3
立,594,l,i,4
立,594,w,ei,4
冯,595,b,i,4
冯,595,f,eng,2
冯,595,p,ing,2
邙,596,m,ang,2
邙,596,l,ing,2
玄,597,m,ou,2
玄,597,w,u,4
玄,597,x,uan,2
玄,597,x,uan,4
氷,598,b,ing,1
闪,599,sh,an,3
闪,599,zh,ou,4
兰,600,l,an,2
半,601,p,an,4
半,601,b,an,4
汀,602,d,ing,4
汀,602,t,ing,1
汀,602,t,ing,4
汀,602,y,u,4
汁,603,sh,i,2
汁,603,x,ian,2
汁,603,x,ie,2
汁,603,zh,i,1
汅,604,j,u,1
汅,604,m,ian,3
汇,605,h,ui,4
汇,605,k,ong,1
乧,606,d,ou,3
乧,606,n,ing,2
头,607,t,ou,2
头,607,t,ou,u
头,607,y,an,3
汃,608,y,u,2
汃,608,p,a,4
汃,608,p,a,1
汃,608,b,in,1
汄,609,g,u,1
汄,609,z,e,4
氿,610,g,ui,3
氿,610,j,iu,3
氿,610,q,iu,2
汈,611,d,iao,1
氻,612,l,e,4
汉,613,h,an,4
氾,614,f,an,2
氾,614,f,an,4
氾,614,x,ue,4
忊,615,ch,e,4
忊,615,d,ing,4
忊,615,t,ing,4
忇,616,l,e,4
忇,616,sh,u,1
忉,617,w,a,4
忉,617,m,o,4
忉,617,d,ao,1
宁,618,n,ing,2
宁,618,n,ing,4
宁,618,zh,u,4
穴,619,ch,i,1
穴,619,ch,i,4
穴,619,j,ue,2
穴,619,x,ue,2
宂,620,r,ong,3
它,621,t,a,1
它,621,t,uo,2
它,621,y,i,2
宄,622,g,ui,3
讦,623,j,ie,2
讧,624,h,ong,4
讨,625,t,ao,3
戹,626,,e,4
写,627,x,ie,4
写,627,x,ie,3
写,627,m,ang,2
让,628,r,ang,4
衤,629,l,ao,3
衤,629,y,i,1
礼,630,j,ue,2
礼,630,l,i,3
冚,631,k,an,3
冚,631,w,ang,1
讪,632,x,i,3
讪,632,sh,an,4
讫,633,q,i,4
讬,634,p,iao,1
讬,634,t,uo,1
训,635,s,i,1
训,635,x,un,4
必,636,b,i,4
必,636,sh,i,4
议,637,y,i,4
讯,638,x,un,4
讯,638,t,ie,3
记,639,j,i,4
永,640,x,in,1
永,640,y,ong,3
讱,641,r,en,4
司,642,c,i,2
司,642,s,i,1
司,642,s,i,4
叏,643,g,uai,4
叏,643,g,uai,2
凥,644,j,u,1
尻,645,k,ao,1
尻,645,m,u,4
尼,646,n,i,2
尼,646,n,i,3
尼,646,s,uo,3
民,647,m,in,2
弗,648,f,u,2
邔,649,q,i,3
邔,649,f,u,2
弘,650,h,ong,2
弘,650,q,i,2
疋,651,p,i,3
疋,651,sh,u,1
疋,651,y,a,3
阢,652,w,ei,2
阢,652,w,u,4
叾,653,l,iao,3
出,654,ch,u,1
阡,655,l,i,4
阡,655,q,ian,1
阣,656,g,ai,4
阣,656,y,i,4
辽,657,l,iao,2
阠,658,s,ou,1
阠,658,x,in,4
阤,659,zh,i,4
阤,659,y,u,4
阤,659,t,uo,2
阤,659,y,i,2
氶,660,ch,eng,2
氶,660,zh,eng,3
氶,660,zh,eng,4
氹,661,d,ang,4
氹,661,zh,uo,2
奵,662,t,ian,3
奵,662,y,ang,4
奵,662,d,ing,3
奵,662,d,ing,1
邚,663,f,u,4
邚,663,r,u,2
奶,664,n,ai,3
奶,664,t,ing,2
奴,665,n,u,2
奴,665,y,i,4
丱,666,k,uang,4
丱,666,y,a,4
丱,666,k,ai,4
丱,666,,e,4
丱,666,g,uan,4
丱,666,k,e,4
尕,667,g,a,3
加,668,j,ia,1
召,669,sh,ao,4
召,669,zh,ao,4
皮,670,p,i,2
辸,671,r,eng,2
边,672,b,ian,n
边,672,b,ian,1
辺,673,b,ian,1
辺,673,d,ao,4
孕,674,y,un,4
发,675,f,a,1
发,675,f,a,4
圣,676,sh,eng,4
圣,676,k,u,1
对,677,d,ui,4
弁,678,b,ian,4
弁,678,p,an,2
厼,679,,er,3
台,680,y,i,2
台,680,s,i,4
台,680,t,ai,1
台,680,t,ai,2
台,680,zh,i,4
癶,681,b,o,1
癶,681,y,u,2
矛,682,m,ao,2
纠,683,ch,i,4
纠,683,j,iu,1
驭,684,y,u,4
母,685,w,u,2
母,685,w,u,3
母,685,m,u,2
母,685,m,u,3
母,685,zh,e,4
幼,686,y,ou,4
幼,686,y,ao,4
丝,687,s,i,1
廵,688,c,i,2
廵,688,x,un,2
弎,689,s,an,1
弐,690,,er,4
匡,691,k,uang,1
匡,691,w,ang,1
耒,692,l,ei,3
邦,693,b,ang,1
邦,693,b,eng,4
玎,694,d,ing,1
兲,695,t,ian,1
玐,696,b,a,1
玑,697,j,i,1
玏,698,l,e,4
丟,699,d,iu,1
式,700,t,e,4
式,700,sh,i,4
迀,701,g,an,1
迂,702,y,u,1
幵,703,ch,u,4
幵,703,j,ian,1
幵,703,q,ian,1
刑,704,h,ou,2
刑,704,x,ing,2
邢,705,y,in,2
邢,705,x,ing,2
邢,705,g,eng,3
邢,705,,ai,2
邞,706,f,u,1
邞,706,p,ao,4
刓,707,g,ua,1
刓,707,w,an,2
戎,708,r,eng,1
戎,708,r,ong,2
邧,709,y,uan,2
邧,709,y,u,1
忈,710,r,en,2
动,711,d,ong,4
迃,712,y,u,1
圩,713,w,ei,2
圩,713,x,u,1
圩,713,y,u,2
扜,714,w,u,1
扜,714,y,u,1
扞,715,h,an,4
扞,715,g,an,3
圬,716,n,i,3
圬,716,w,u,1
圬,716,x,ian,3
扝,717,k,u,1
扝,717,w,u,1
扝,717,x,in,4
扝,717,y,u,1
圭,718,g,uo,3
圭,718,g,ui,1
扗,719,z,ai,4
扛,720,g,ang,1
扛,720,k,ang,2
圷,721,x,ia,4
寺,722,sh,i,4
寺,722,s,i,4
扙,723,b,ian,4
扙,723,zh,ang,4
扤,724,w,u,4
圵,725,d,ang,4
圵,725,q,ue,4
卋,726,h,ui,3
卋,726,sh,i,4
卋,726,x,ie,1
卋,726,z,ui,1
吉,727,j,i,2
扣,728,k,ou,4
圸,729,sh,an,1
圲,730,x,ian,3
圲,730,q,ian,1
圲,730,j,ian,3
扦,731,q,ian,1
圪,732,g,e,1
圪,732,y,i,4
圫,733,y,u,4
圫,733,zh,un,1
托,734,t,uo,1
扢,735,x,i,4
扢,735,q,i,4
扢,735,l,ing,2
扢,735,g,u,3
扢,735,g,e,1
扢,735,j,ie,2
扥,736,d,en,4
扥,736,w,eng,4
考,737,k,ao,3
圳,738,zh,en,4
圳,738,q,uan,3
圳,738,ch,ou,2
圳,738,h,uai,2
老,739,l,ao,3
圴,740,q,ian,1
圴,740,zh,uo,2
圾,741,j,i,1
圾,741,j,i,2
圾,741,j,ie,2
巩,742,z,a,2
巩,742,g,ong,3
扚,743,d,i,2
扚,743,d,iao,3
扚,743,l,i,4
扚,743,y,ue,1
执,744,y,a,4
执,744,zh,i,2
扱,745,q,i,4
扱,745,x,i,1
扱,745,ch,a,1
圹,746,k,uang,4
扩,747,k,uo,4
扪,748,m,en,2
扪,748,w,ang,3
赱,749,z,ou,3
扫,750,s,ao,3
扫,750,s,ao,4
扟,751,sh,en,1
扟,751,y,a,4
圮,752,j,un,4
圮,752,p,i,3
圯,753,y,i,2
地,754,d,e,e
地,754,d,i,4
地,754,sh,i,1
扡,755,ch,i,3
扡,755,t,uo,1
扡,755,y,i,3
场,756,ch,ang,2
场,756,ch,ang,3
扬,757,y,ang,2
扬,757,t,ing,1
扨,758,r,en,4
扠,759,ch,a,1
扠,759,ch,ai,1
扠,759,zh,a,3
