zi,index,ini,fin,tone
楐,10954,j,ie,4
楐,10954,zh,i,4
楒,10955,s,i,1
楍,10956,b,en,3
楍,10956,j,ing,4
榀,10957,p,in,3
椯,10958,ch,uan,2
椯,10958,d,uo,3
楞,10959,l,eng,2
楞,10959,l,eng,4
榾,10960,g,u,3
榾,10960,d,ao,3
榾,10960,g,u,4
楿,10961,x,iang,1
楸,10962,q,iu,1
椱,10963,f,u,4
椴,10964,d,uan,4
楩,10965,p,ian,2
棩,10966,w,ang,3
棩,10966,y,uan,1
椺,10967,x,i,2
楻,10968,zh,ui,4
楻,10968,h,uang,2
楾,10969,q,uan,2
槐,10970,h,uai,2
槐,10970,x,ian,1
楀,10971,y,u,3
槌,10972,zh,ui,4
槌,10972,ch,ui,2
槌,10972,d,ui,1
楯,10973,x,ue,2
楯,10973,sh,un,3
楯,10973,ch,un,1
楯,10973,d,un,4
皙,10974,x,i,1
椼,10975,y,an,3
榆,10976,y,u,2
楡,10977,y,u,2
嗇,10978,s,e,4
厀,10979,x,i,1
厀,10979,r,uan,3
楥,10980,y,uan,2
楥,10980,x,uan,4
椶,10981,z,ong,1
楓,10982,f,an,2
楓,10982,f,eng,1
楤,10983,c,ong,1
楤,10983,p,ing,1
楤,10983,s,ong,3
楟,10984,t,ing,2
榳,10985,t,ing,2
榇,10986,ch,en,4
楌,10987,y,an,2
楴,10988,d,i,3
楴,10988,d,i,4
楴,10988,sh,i,4
楴,10988,t,i,4
椸,10989,ch,i,4
椸,10989,y,i,2
榈,10990,l,v,2
槎,10991,ch,a,2
楼,10992,l,ou,2
椾,10993,j,ian,1
椾,10993,zh,an,4
楢,10994,y,ou,2
楢,10994,y,ou,3
榉,10995,j,u,3
楦,10996,m,o,4
楦,10996,x,uan,4
榁,10997,sh,i,3
楁,10998,w,u,2
楁,10998,h,e,2
楎,10999,h,ui,1
楎,10999,zh,i,4
楄,11000,p,ian,1
楄,11000,p,ian,2
榊,11001,sh,en,2
榋,11002,ch,u,u
榋,11002,ch,u,1
概,11003,j,ie,2
概,11003,g,ui,4
概,11003,g,ai,4
椵,11004,j,ia,1
椵,11004,j,ia,3
楃,11005,w,o,4
椲,11006,h,ui,1
椲,11006,w,ei,3
楣,11007,m,ei,2
楣,11007,m,ei,3
楣,11007,y,ou,2
楈,11008,x,u,1
楈,11008,,ai,3
榌,11009,b,i,1
榌,11009,p,i,i
榌,11009,y,ao,3
楹,11010,y,ing,2
楑,11011,j,u,2
楑,11011,j,u,3
楑,11011,k,ui,2
楙,11012,m,ao,4
楙,11012,m,ao,2
楺,11013,r,ou,2
楺,11013,r,ou,3
楺,11013,r,ou,4
椽,11014,ch,uan,2
椽,11014,n,i,2
裘,11015,m,eng,2
裘,11015,q,iu,2
愂,11016,d,ai,4
愂,11016,b,ei,4
軭,11017,k,uang,1
軾,11018,sh,i,4
輁,11019,g,ong,3
輌,11020,ch,en,1
輌,11020,l,iang,4
輀,11021,,er,2
輊,11022,zh,i,4
輊,11022,w,u,2
輄,11023,g,uang,1
輈,11024,zh,an,4
輈,11024,zh,ou,1
輇,11025,ch,un,1
輇,11025,l,ong,2
輇,11025,q,uan,2
輅,11026,h,e,2
輅,11026,l,u,4
輅,11026,y,a,4
較,11027,x,iao,4
較,11027,j,ue,2
較,11027,j,iao,4
輆,11028,k,ai,3
輆,11028,k,ai,4
軿,11029,p,ing,2
剸,11030,k,eng,1
剸,11030,t,uan,2
剸,11030,zh,uan,1
剸,11030,zh,uan,4
鄟,11031,zh,uan,1
畺,11032,sh,uang,4
畺,11032,j,iang,1
畺,11032,j,iang,4
揧,11033,l,a,4
揧,11033,sh,u,2
赖,11034,l,ai,4
剾,11035,q,iao,1
剾,11035,k,ou,1
硻,11036,k,eng,3
硻,11036,k,eng,1
竪,11037,sh,u,4
剽,11038,b,iao,1
剽,11038,b,iao,3
剽,11038,k,ang,1
剽,11038,p,iao,1
剽,11038,p,iao,2
剽,11038,p,iao,4
勡,11039,p,iao,1
勡,11039,p,iao,4
勡,11039,t,ang,2
甄,11040,j,uan,4
甄,11040,zh,en,1
甄,11040,zh,en,4
歅,11041,y,an,1
歅,11041,y,in,1
賈,11042,j,ia,3
賈,11042,j,ia,4
賈,11042,g,u,3
覅,11043,f,iao,4
酭,11044,y,ou,4
酮,11045,c,en,2
酮,11045,ch,ong,2
酮,11045,d,ong,4
酮,11045,t,ong,2
酰,11046,s,i,1
酰,11046,x,ian,1
酫,11047,ch,uo,4
酯,11048,zh,i,3
酩,11049,m,ing,3
酩,11049,l,i,4
酪,11050,l,ao,4
酪,11050,l,u,4
酪,11050,l,uo,4
酪,11050,sh,uang,1
酬,11051,ch,ou,2
酧,11052,ch,ou,2
酧,11052,zh,ong,1
頍,11053,k,ui,3
蜃,11054,sh,en,4
毻,11055,t,uo,4
厪,11056,j,in,3
厪,11056,sh,en,3
厯,11057,l,i,4
感,11058,g,an,3
感,11058,h,an,4
嫑,11059,b,ao,2
嫑,11059,b,iao,2
碔,11060,w,u,3
碃,11061,l,ou,2
碃,11061,q,ing,4
碛,11062,q,i,4
碛,11062,y,ing,1
揅,11063,j,ue,2
揅,11063,y,an,2
碐,11064,l,eng,2
碐,11064,z,eng,1
碏,11065,x,i,1
碏,11065,q,ue,4
碤,11066,y,ing,1
碄,11067,l,in,2
碄,11067,p,iao,3
硹,11068,s,ong,1
硹,11068,y,ou,2
碕,11069,q,i,1
碕,11069,q,i,2
碕,11069,q,i,3
硽,11070,y,an,1
硽,11070,y,an,3
硺,11071,q,i,2
硺,11071,zh,uo,2
碊,11072,j,ian,1
碊,11072,zh,an,4
碍,11073,,ai,4
碘,11074,d,ian,3
碋,11075,l,ao,4
碋,11075,h,e,4
硸,11076,d,ou,1
硸,11076,n,ve,4
碅,11077,j,un,1
碙,11078,g,ang,1
碙,11078,n,ao,2
碢,11079,t,uo,2
碢,11079,y,ao,4
硾,11080,ch,ui,2
硾,11080,d,uo,3
硾,11080,zh,ui,4
碓,11081,d,ui,1
碓,11081,d,ui,4
碑,11082,b,ei,1
碒,11083,w,ei,3
碒,11083,y,in,2
碒,11083,w,ei,2
碖,11084,l,un,3
碖,11084,l,un,4
碖,11084,j,ian,1
碖,11084,l,un,2
硼,11085,p,eng,2
硼,11085,x,iao,3
硼,11085,p,eng,1
碉,11086,d,iao,1
碈,11087,m,in,2
碎,11088,s,ui,4
碚,11089,b,ei,4
碰,11090,h,u,1
碰,11090,p,eng,4
碂,11091,z,ong,4
碂,11091,y,i,4
碂,11091,c,ong,2
碇,11092,d,ing,4
硿,11093,k,ong,1
碗,11094,w,an,3
碌,11095,g,ao,1
碌,11095,l,iu,4
碌,11095,l,u,4
碌,11095,l,uo,4
碜,11096,f,an,2
碜,11096,ch,en,3
鳫,11097,y,an,4
綔,11098,ch,eng,2
綔,11098,h,u,4
鹌,11099,,an,1
尴,11100,g,an,1
豣,11101,g,ai,3
豣,11101,j,ian,1
豣,11101,y,an,4
豥,11102,g,ai,1
豤,11103,k,en,3
豤,11103,k,un,1
殜,11104,d,ie,2
殟,11105,w,en,1
尲,11106,g,an,1
尲,11106,h,ong,4
飱,11107,l,u,4
飱,11107,c,an,1
飱,11107,s,un,1
頋,11108,,e,3
匯,11109,h,ui,4
匯,11109,m,eng,2
鄠,11110,d,ian,1
鄠,11110,h,u,4
雸,11111,,an,2
雼,11112,d,ang,4
雼,11112,l,u,4
電,11113,z,uan,3
電,11113,zh,an,1
電,11113,d,ian,4
電,11113,z,an,4
雷,11114,l,ei,2
雷,11114,l,ei,4
雵,11115,y,ang,1
雵,11115,zh,ui,4
雽,11116,t,ao,2
雽,11116,h,u,1
雽,11116,h,u,4
零,11117,t,i,2
零,11117,l,ian,2
零,11117,l,ing,2
雾,11118,w,u,4
雹,11119,b,ao,2
雹,11119,x,i,4
雴,11120,ch,i,4
雺,11121,j,u,2
雺,11121,m,eng,2
雺,11121,w,u,4
辔,11122,f,ang,4
辔,11122,p,ei,4
辏,11123,c,ou,4
辐,11124,f,u,2
辑,11125,j,i,2
辒,11126,h,ang,2
辒,11126,w,en,1
输,11127,sh,u,1
输,11127,g,e,1
输,11127,y,i,4
頓,11128,d,un,4
頓,11128,d,u,2
盞,11129,h,u,2
盞,11129,zh,an,3
甅,11130,s,ou,4
督,11131,d,u,1
歲,11132,q,i,2
歲,11132,s,ui,4
歲,11132,s,uo,4
歳,11133,y,u,3
歳,11133,s,ui,4
頉,11134,y,i,2
频,11135,b,in,1
频,11135,c,i,3
频,11135,p,in,2
歱,11136,zh,ong,3
龃,11137,j,u,3
龄,11138,l,ing,2
龅,11139,b,ao,1
龆,11140,t,iao,2
貲,11141,z,i,1
觜,11142,z,i,1
觜,11142,z,ui,3
訾,11143,z,i,1
訾,11143,z,i,3
粲,11144,c,an,4
豦,11145,d,ao,4
豦,11145,j,u,4
虡,11146,x,ian,3
虡,11146,j,u,4
虞,11147,y,u,2
虜,11148,l,u,3
甝,11149,h,an,2
甝,11149,l,i,4
鉴,11150,,e,4
鉴,11150,j,ian,4
業,11151,y,e,4
業,11151,p,o,4
彂,11152,f,a,1
鳪,11153,b,u,2
揱,11154,ch,ai,4
揱,11154,sh,uo,4
揱,11154,x,ian,1
揱,11154,x,iao,1
揱,11154,y,ang,3
甞,11155,ch,ang,2
甞,11155,y,uan,2
當,11156,d,ang,4
當,11156,d,ang,3
當,11156,d,ang,g
當,11156,d,ang,1
睛,11157,j,ing,1
睛,11157,j,ing,3
暙,11158,ch,un,1
暙,11158,z,i,3
睹,11159,d,u,3
睹,11159,l,uo,3
睦,11160,m,u,4
睖,11161,l,eng,4
睖,11161,ch,eng,1
睰,11162,m,a,4
瞄,11163,m,iao,2
睞,11164,l,ai,4
睚,11165,y,a,2
嗪,11166,j,iang,1
嗪,11166,q,in,2
睫,11167,sh,e,4
睫,11167,x,ie,4
睫,11167,j,ie,2
晸,11168,s,an,1
晸,11168,zh,eng,3
韪,11169,w,ei,3
尟,11170,g,an,3
尟,11170,l,ong,3
尟,11170,x,ian,3
嗷,11171,,ao,2
嗉,11172,s,u,4
暔,11173,n,an,2
睗,11174,sh,i,4
睗,11174,d,un,1
睤,11175,b,i,4
睤,11175,s,i,1
睓,11176,t,ian,3
鼌,11177,ch,ao,2
鼌,11177,w,ei,1
暕,11178,j,ian,3
暕,11178,l,an,2
睡,11179,sh,ui,4
睨,11180,n,i,4
睢,11181,h,ui,1
睢,11181,s,ui,1
睢,11181,w,ei,3
雎,11182,j,u,1
雎,11182,m,an,3
暊,11183,q,i,4
暊,11183,x,u,3
睥,11184,b,i,4
睥,11184,p,i,4
賎,11185,j,ian,4
賊,11186,j,iu,1
賊,11186,z,ei,2
睔,11187,g,un,4
睔,11187,h,uan,2
睔,11187,l,un,3
睔,11187,q,u,2
賄,11188,h,ui,4
賉,11189,x,u,4
賉,11189,x,ia,1
賂,11190,ch,an,4
賂,11190,l,u,4
賍,11191,z,ang,1
賋,11192,j,i,3
賋,11192,j,iao,3
賅,11193,g,ai,1
賆,11194,p,ian,2
賆,11194,n,ang,4
睬,11195,c,ai,3
睬,11195,b,i,4
睬,11195,b,ie,2
睜,11196,l,iao,2
睜,11196,zh,eng,1
睭,11197,zh,ou,3
睧,11198,h,un,1
敭,11199,y,ang,2
睟,11200,s,ui,4
睟,11200,z,ui,4
睠,11201,j,uan,4
睒,11202,h,eng,2
睒,11202,sh,an,3
睕,11203,w,an,1
睕,11203,w,an,3
睕,11203,w,an,4
睕,11203,w,ei,2
睙,11204,l,i,4
睙,11204,l,ie,4
睷,11205,k,ui,4
睷,11205,j,ian,1
睩,11206,l,u,4
鹍,11207,k,ui,2
鹍,11207,k,un,1
嗎,11208,m,a,a
嗎,11208,m,a,2
嗎,11208,m,a,3
嗎,11208,m,a,4
嗊,11209,ch,ang,3
嗊,11209,g,ong,3
嗊,11209,g,ong,4
嗊,11209,h,ong,3
嘟,11210,d,u,1
嗜,11211,sh,i,4
嗑,11212,k,e,1
嗑,11212,k,e,4
嗑,11212,h,e,2
嗑,11212,x,ia,2
嗫,11213,q,u,2
嗫,11213,n,ie,4
嘩,11214,h,ua,1
嘩,11214,h,ua,2
嗼,11215,m,o,4
嗬,11216,h,e,1
嗬,11216,l,ei,3
嗔,11217,ch,en,1
嗔,11217,t,ian,2
鄙,11218,h,an,2
鄙,11218,b,i,3
嗦,11219,s,uo,o
嗦,11219,s,uo,1
嗦,11219,zh,ong,1
閠,11220,b,ei,4
閠,11220,r,un,4
嗹,11221,l,ian,2
閜,11222,k,e,3
閜,11222,x,ia,3
閜,11222,,e,3
毷,11223,m,ao,4
暘,11224,y,ang,2
閛,11225,p,eng,1
閛,11225,p,eng,2
閛,11225,p,eng,4
閘,11226,zh,a,2
閘,11226,g,e,1
閘,11226,y,a,1
暒,11227,q,ing,2
閝,11228,l,iao,2
閝,11228,l,ing,2
暍,11229,y,e,1
閙,11230,n,ao,4
閚,11231,zh,an,1
閟,11232,b,i,4
閞,11233,b,ian,4
閞,11233,g,uan,1
黽,11234,m,in,3
黽,11234,m,eng,3
黽,11234,m,eng,2
黽,11234,m,ian,3
嗝,11235,g,e,2
嗝,11235,r,ang,3
愚,11236,y,u,2
鄤,11237,m,an,4
鄤,11237,w,an,4
戥,11238,d,eng,3
嗕,11239,r,u,4
嗄,11240,,a,a
嗄,11240,,a,2
嗄,11240,sh,a,4
嗄,11240,x,ia,4
暖,11241,n,uan,3
暖,11241,x,uan,1
琞,11242,w,ang,4
琞,11242,sh,eng,4
盟,11243,x,ing,1
盟,11243,m,ing,2
盟,11243,m,eng,2
盟,11243,m,eng,4
煦,11244,x,iu,1
煦,11244,x,u,4
毼,11245,d,a,1
毼,11245,h,e,2
毼,11245,k,e,3
歇,11246,x,ie,1
歇,11246,y,a,4
暗,11247,,an,4
暆,11248,y,i,2
暛,11249,s,uo,3
暅,11250,g,eng,4
暅,11250,x,uan,3
暄,11251,x,uan,1
暈,11252,t,uo,4
暈,11252,y,un,1
暈,11252,d,u,4
暈,11252,y,un,4
暉,11253,h,ui,1
暇,11254,x,ia,4
暇,11254,x,ia,2
暇,11254,j,ia,3
暐,11255,t,uo,2
暐,11255,w,ei,3
號,11256,h,ao,2
號,11256,h,ao,4
照,11257,zh,ao,4
遢,11258,t,a,4
暌,11259,k,ui,2
畸,11260,q,i,2
畸,11260,h,uang,2
畸,11260,j,i,1
跬,11261,k,ui,3
跬,11261,m,i,3
跬,11261,x,ie,4
跱,11262,zh,i,4
跱,11262,zh,uan,3
跴,11263,c,ai,3
跨,11264,k,ua,4
跨,11264,k,ua,3
跨,11264,k,u,4
跨,11264,k,ua,1
跶,11265,d,a,2
跠,11266,y,i,2
跷,11267,q,iao,1
跸,11268,b,i,4
跮,11269,h,uo,1
跮,11269,ch,i,4
跮,11269,d,ie,2
跐,11270,z,i,3
跐,11270,y,un,1
跐,11270,c,i,1
跐,11270,c,i,3
跩,11271,zh,uai,3
跩,11271,sh,i,4
跩,11271,t,ou,2
跦,11272,l,i,4
跦,11272,zh,u,1
跦,11272,ch,u,2
跣,11273,x,ian,3
跣,11273,s,un,3
跣,11273,x,ian,1
跹,11274,x,ian,1
跧,11275,q,uan,2
跧,11275,z,un,1
跲,11276,j,ia,2
跲,11276,j,ie,2
跲,11276,y,ue,4
跳,11277,t,iao,4
跳,11277,t,ao,2
跳,11277,d,iao,4
喍,11278,ch,ai,2
喍,11278,l,a,4
跺,11279,d,uo,4
跪,11280,g,ui,4
跭,11281,ch,an,3
跭,11281,x,iang,2
路,11282,l,uo,4
路,11282,l,u,4
跢,11283,d,uo,4
跢,11283,d,uo,1
跢,11283,ch,i,2
跢,11283,d,ai,4
踭,11284,p,o,1
踭,11284,zh,eng,1
跡,11285,j,i,1
跡,11285,j,i,4
跻,11286,j,i,1
跻,11286,l,an,2
跤,11287,j,iao,1
跤,11287,q,iao,1
跰,11288,p,ian,2
跰,11288,b,eng,4
跰,11288,b,ing,3
跟,11289,g,en,1
跥,11290,x,ie,2
跥,11290,d,uo,4
園,11291,y,uan,2
園,11291,y,an,3
遣,11292,q,ian,3
遣,11292,q,ian,4
蜐,11293,j,ie,2
蜐,11293,x,i,3
蜹,11294,r,ui,4
蜹,11294,w,ei,4
蛷,11295,q,iu,2
蛼,11296,ch,e,1
蜅,11297,f,u,3
蜅,11297,p,u,2
蜄,11298,sh,en,4
蜄,11298,zh,en,4
蛺,11299,j,ia,2
蛖,11300,b,ang,4
蛖,11300,k,uai,4
蛖,11300,m,ang,2
蜌,11301,h,uan,4
蜌,11301,b,i,4
蛵,11302,h,u,3
蛵,11302,x,ing,1
蛵,11302,x,ing,2
蝆,11303,g,e,1
蝆,11303,y,ang,3
蛸,11304,sh,ao,1
蛸,11304,x,iao,1
蛽,11305,b,ei,4
蜈,11306,w,u,2
蜆,11307,x,ian,3
蜆,11307,x,ian,4
蜎,11308,x,uan,1
蜎,11308,y,uan,1
蜎,11308,zh,i,1
蜗,11309,w,o,1
蜗,11309,z,ou,1
蜖,11310,h,ui,2
蜖,11310,y,u,2
蛾,11311,y,i,3
蛾,11311,,e,2
蜊,11312,l,i,2
蜊,11312,l,i,4
蜏,11313,y,ing,2
蜏,11313,y,ou,3
蜁,11314,x,uan,2
蜍,11315,y,u,2
蜍,11315,ch,u,2
蜍,11315,q,iao,4
蛻,11316,t,ui,4
蛶,11317,j,ie,4
蛶,11317,r,ou,2
蛶,11317,sh,ou,4
蜉,11318,f,u,2
蛿,11319,h,an,4
蜔,11320,d,ian,4
蜔,11320,h,uang,2
蜂,11321,d,ang,3
蜂,11321,f,eng,1
蜣,11322,q,iang,1
蜕,11323,t,ui,4
蜕,11323,y,ue,4
蜋,11324,l,ang,2
蜋,11324,l,iang,2
畹,11325,w,an,3
畹,11325,y,uan,3
蝍,11326,j,i,2
蝍,11326,j,ie,2
蝍,11326,q,ian,1
蛹,11327,y,ong,3
圔,11328,y,a,4
畷,11329,zh,ui,4
豊,11330,f,eng,1
豊,11330,l,i,3
農,11331,n,ong,2
嗩,11332,s,uo,3
嗶,11333,l,ei,4
嗶,11333,b,i,4
嗮,11334,s,ai,4
嗮,11334,s,ai,3
嗮,11334,q,ue,1
圑,11335,p,u,3
嗣,11336,s,i,4
喿,11337,d,u,2
喿,11337,q,iao,1
喿,11337,z,ao,4
嗯,11338,n,g,4
嗯,11338,n,g,3
嗯,11338,n,g,2
嗯,11338,n,n,3
嗯,11338,n,n,2
嗯,11338,,en,4
嗯,11338,n,n,4
嗰,11339,g,e,3
嗅,11340,x,iu,4
嗥,11341,h,ao,2
嗚,11342,w,u,4
嗚,11342,w,u,1
嗚,11342,d,ao,4
嗁,11343,t,i,2
嗁,11343,zh,uo,2
嗱,11344,n,a,2
嗲,11345,d,ia,3
嗲,11345,d,ie,1
嗂,11346,y,ao,2
嗳,11347,,ai,4
嗳,11347,,ai,3
嗳,11347,,ai,1
嗘,11348,j,i,1
嗆,11349,ch,eng,2
嗆,11349,q,iang,1
嗆,11349,q,iang,4
嗡,11350,w,eng,1
嗡,11350,w,eng,3
嗃,11351,x,iao,4
嗃,11351,x,iao,1
嗃,11351,h,u,4
嗃,11351,h,e,4
嗙,11352,b,ang,4
嗙,11352,b,eng,1
嗙,11352,p,ang,3
嗙,11352,q,ue,4
嗌,11353,w,o,4
嗌,11353,y,i,4
嗌,11353,,ai,4
嗛,11354,q,ian,1
嗛,11354,q,ian,3
嗛,11354,q,ian,4
嗛,11354,q,ie,4
嗛,11354,x,ian,2
嗍,11355,sh,uo,4
嗍,11355,s,uo,1
嗨,11356,h,ai,1
嗨,11356,h,ei,1
嗐,11357,h,ai,4
嗤,11358,ch,i,1
嗋,11359,x,ie,2
嗵,11360,t,ong,1
嗵,11360,x,iang,4
嗓,11361,s,ang,3
嗓,11361,t,a,4
嗈,11362,y,ong,1
幊,11363,g,ong,1
幊,11363,s,i,4
幙,11364,m,u,4
嵮,11365,d,ian,1
歂,11366,ch,uan,2
歂,11366,ch,uan,3
嵟,11367,c,ui,1
嵟,11367,d,ui,1
嵟,11367,zh,u,4
輋,11368,x,u,1
輋,11368,sh,e,1
罫,11369,h,ua,4
罫,11369,l,ian,4
罫,11369,g,ua,4
罫,11369,g,uai,3
署,11370,l,i,4
署,11370,sh,u,3
睪,11371,b,iao,3
睪,11371,d,u,4
睪,11371,g,ao,1
睪,11371,y,i,4
睪,11371,z,e,2
置,11372,zh,i,4
罧,11373,ch,u,4
罧,11373,sh,en,1
罧,11373,sh,en,4
罭,11374,y,u,4
睘,11375,b,ao,4
睘,11375,q,iong,2
罨,11376,m,i,4
罨,11376,y,an,3
罪,11377,z,ui,4
罩,11378,zh,ao,4
罩,11378,q,iang,1
遝,11379,t,a,4
蜀,11380,sh,u,3
罬,11381,zh,uo,2
嵵,11382,sh,i,2
幌,11383,h,uang,3
幌,11383,j,ia,1
嵦,11384,k,ai,3
嵦,11384,sh,ao,3
嵦,11384,,ai,2
嵊,11385,ch,eng,2
嵊,11385,sh,eng,4
嵲,11386,n,ie,4
嵨,11387,m,i,2
嵨,11387,w,u,4
幍,11388,t,ao,1
幍,11388,zh,u,4
嵠,11389,g,u,3
嵠,11389,x,i,1
嵢,11390,c,ang,1
嵡,11391,w,eng,3
剻,11392,p,eng,1
剻,11392,p,eng,3
剻,11392,q,i,4
嵥,11393,j,ie,2
嵧,11394,l,iu,2
嵧,11394,q,in,3
嵩,11395,s,ong,1
嵪,11396,q,iao,1
嵪,11396,p,ing,2
嵪,11396,k,ao,1
嵴,11397,j,i,3
嵣,11398,d,ang,4
嵣,11398,d,uan,1
嵣,11398,t,ang,2
嵭,11399,b,eng,1
嵰,11400,q,ian,3
嵰,11400,q,in,1
幏,11401,j,ia,4
嵱,11402,y,ong,3
嵱,11402,y,ong,2
幎,11403,m,i,4
圓,11404,l,an,2
圓,11404,y,uan,2
嵶,11405,r,uo,4
嵶,11405,t,ian,3
颒,11406,h,ui,4
颒,11406,y,ao,3
赗,11407,q,ue,4
赗,11407,f,eng,4
圕,11408,t,u,2
圕,11408,t,uan,1
骱,11409,j,ia,2
骱,11409,j,ie,4
骱,11409,x,ie,4
骱,11409,x,un,1
骰,11410,t,ou,2
骰,11410,g,u,3
骯,11411,k,ang,3
骯,11411,,ang,1
锖,11412,q,iang,1
锗,11413,l,ei,4
锗,11413,l,i,4
锗,11413,zh,e,3
错,11414,c,uo,4
错,11414,p,i,3
错,11414,x,in,4
锘,11415,,ang,2
锘,11415,n,uo,4
锚,11416,w,eng,3
锚,11416,m,ao,2
锚,11416,w,eng,1
锳,11417,y,ing,1
锳,11417,z,e,2
锛,11418,b,en,1
锜,11419,q,i,2
锝,11420,q,in,4
锝,11420,d,e,2
锞,11421,k,e,4
锞,11421,h,an,2
锟,11422,k,un,1
锟,11422,q,in,3
锠,11423,ch,ang,1
锠,11423,m,ie,4
锡,11424,d,ou,1
锡,11424,x,i,1
锢,11425,g,u,4
锢,11425,m,i,2
锣,11426,zh,an,1
锣,11426,l,uo,2
锤,11427,ch,ui,2
锥,11428,q,ing,3
锥,11428,zh,ui,1
锦,11429,j,in,3
锦,11429,y,i,2
锧,11430,zh,i,4
锨,11431,x,ian,1
锪,11432,h,uo,4
锪,11432,h,uo,1
锫,11433,p,ei,2
锩,11434,j,uan,3
锬,11435,t,an,2
锬,11435,x,ian,1
锭,11436,d,ing,4
键,11437,b,an,1
键,11437,j,ian,4
锯,11438,j,u,4
锯,11438,j,u,1
锰,11439,m,eng,3
锱,11440,j,uan,1
锱,11440,z,i,1
勧,11441,q,uan,4
榘,11442,ch,a,1
榘,11442,j,u,3
矮,11443,,ai,3
雉,11444,zh,i,4
雉,11444,y,i,3
雉,11444,s,i,4
雉,11444,k,ai,3
氱,11445,ch,ang,2
氱,11445,y,ang,3
氲,11446,x,u,1
氲,11446,y,un,1
氲,11446,y,un,2
毸,11447,s,ai,1
毸,11447,s,ui,1
毺,11448,sh,u,1
犑,11449,j,u,2
犐,11450,k,e,1
犏,11451,g,ai,1
犏,11451,p,ian,1
犌,11452,j,ia,1
辞,11453,c,i,2
辞,11453,j,iu,3
敮,11454,x,ia,2
歃,11455,x,ia,2
歃,11455,sh,a,4
稑,11456,l,u,4
稜,11457,l,eng,1
稜,11457,l,eng,2
稜,11457,l,eng,4
稜,11457,l,ing,2
稏,11458,y,a,4
稘,11459,j,i,1
稘,11459,q,i,2
稓,11460,z,uo,2
稙,11461,zh,i,1
稙,11461,zh,i,4
稢,11462,x,iang,2
稢,11462,y,u,4
稞,11463,h,ua,4
稞,11463,k,e,1
馚,11464,f,en,2
馚,11464,f,en,1
稒,11465,g,u,1
稒,11465,g,u,4
稛,11466,k,un,3
稚,11467,zh,i,4
稗,11468,b,ai,4
稗,11468,ch,an,2
稐,11469,l,un,3
稔,11470,r,en,3
稝,11471,p,eng,2
稠,11472,ch,ou,2
稠,11472,d,iao,4
稠,11472,t,iao,2
颓,11473,t,ui,2
睝,11474,l,i,2
稤,11475,l,ve,4
稕,11476,zh,un,4
稕,11476,zh,un,3
稡,11477,z,ui,4
稡,11477,z,u,2
稡,11477,s,u,1
稡,11477,ch,en,2
稖,11478,b,ang,4
甃,11479,zh,ou,4
湬,11480,j,iao,3
湬,11480,q,iu,1
揫,11481,j,iu,1
愁,11482,q,iao,3
愁,11482,j,iu,1
愁,11482,ch,ou,2
稥,11483,x,iang,1
筺,11484,k,uang,1
筹,11485,ch,ou,2
筹,11485,p,in,2
筭,11486,s,uan,4
筭,11486,y,ing,4
筠,11487,y,un,2
筠,11487,x,ie,3
筠,11487,j,un,1
筢,11488,p,a,2
筮,11489,sh,i,4
筪,11490,,e,4
筪,11490,x,ia,2
筻,11491,g,ang,4
筻,11491,h,an,1
筴,11492,j,ia,2
筴,11492,j,ia,1
筴,11492,c,e,4
筲,11493,sh,ao,1
筸,11494,g,an,1
筸,11494,x,ie,4
筫,11495,zh,i,3
筫,11495,zh,i,4
筽,11496,,o,o
筽,11496,sh,an,4
筧,11497,x,ian,4
筧,11497,j,ian,3
筯,11498,zh,u,4
筼,11499,y,un,2
筼,11499,ch,en,4
筶,11500,g,ao,4
筶,11500,g,ao,3
筣,11501,g,uo,2
筣,11501,l,i,2
筱,11502,x,iao,3
筰,11503,z,uo,2
筡,11504,t,u,2
签,11505,h,ui,4
签,11505,q,ian,1
筟,11506,ch,i,2
筟,11506,f,u,1
筨,11507,h,an,2
筿,11508,x,iao,3
简,11509,j,ian,3
筷,11510,k,uai,4
筦,11511,g,uan,3
筦,11511,j,uan,4
筦,11511,x,uan,1
筞,11512,c,e,4
筞,11512,l,ie,4
筤,11513,l,ang,4
筤,11513,l,ang,2
筤,11513,b,ao,4
筤,11513,b,ao,2
節,11514,j,ie,1
節,11514,j,ie,2
節,11514,y,ing,1
筩,11515,d,ong,4
筩,11515,t,ong,2
筩,11515,t,ong,3
筩,11515,y,ong,3
與,11516,y,u,4
與,11516,y,u,3
與,11516,l,an,4
與,11516,y,u,2
債,11517,j,in,1
債,11517,zh,ai,4
傿,11518,y,in,4
傿,11518,y,an,1
傿,11518,y,an,4
僅,11519,j,in,4
僅,11519,j,in,3
傼,11520,h,an,4
僙,11521,g,uang,1
僌,11522,h,ui,1
僌,11522,y,ing,2
傳,11523,ch,uan,2
傳,11523,zh,uan,4
傮,11524,c,ao,2
傮,11524,z,ao,1
傴,11525,y,u,3
僄,11526,p,iao,4
僄,11526,b,iao,1
傶,11527,c,ou,4
傶,11527,q,i,1
傶,11527,z,u,2
僀,11528,ch,a,4
僀,11528,d,i,4
傸,11529,ch,uang,3
傸,11529,y,ang,2
毀,11530,h,ui,3
毀,11530,b,en,4
毁,11531,h,ui,3
毁,11531,h,ui,4
舅,11532,j,iu,4
鼠,11533,sh,u,3
牒,11534,d,ie,2
傾,11535,q,ing,1
傾,11535,q,ing,3
